Название константы;Значение
Постоянная Авогадро;602214076000000000000000
Скорость света в вакууме;299792458
Постоянная Планка;6.626e-34
Элементарный заряд;1.60217662e-19
Масса электрона;9.109e-31
Масса протона;1.6726219e-27
Масса нейтрона;1.6749275e-27
Больцмановская постоянная;1.380649e-26
Газовая постоянная;8.31446261815324
Постоянная Фарадея;96485.33212331001
Постоянная Ридберга;10973731.56816
Постоянная Стефана-Больцмана;5.670373e-08
Плотность воды (при 25°C);997
Плотность этанола;789
Плотность метана;0.717
Плотность железа;7874
Плотность оксида кремния;2200
Плотность натрия;970
Плотность кислорода;1.429
Плотность гелия;0.1785
Плотность углекислого газа;1.977
Плотность серы;1960
Плотность алюминия;2700
Плотность меди;8960
Плотность цинка;7135
Плотность свинца;11340
Плотность глицерина;1261
Плотность рапсового масла;900
Плотность ацетона;791
Плотность хлороформа;1.478
Плотность оливкового масла;920
Плотность подсолнечного масла;920
Плотность кокосового масла;925
Плотность касторового масла;961
Плотность метилового спирта;792
Плотность изопропилового спирта;785
Плотность этилового спирта;789
Плотность раствора кофе;1000
Плотность молока;1027
Плотность сгущенного молока;1350
Плотность концентрированного апельсинового сока;1090
Плотность яблочного сока;1070
Плотность виноградного сока;1090
Плотность меда;1360
Плотность сотового меда;840
Плотность пластмассы;1380
Плотность ацетата целлюлозы;1.3
Плотность нитроцеллюлоза;1.66
Плотность крахмала;1.5
Плотность медного сплава;8.4
Плотность оловянного сплава;7.4
Плотность чугуна;7.2
Плотность стали;7800
Плотность магния;1738
Плотность платины;21450
Плотность амальгамы;13.5
Плотность нейзильбера;10500
Плотность полистирола;1040
Плотность полиэтилена;910
Плотность полипропилена;910
Плотность поливинилхлорида (ПВХ);1400
Плотность сахара;1586
Плотность кухонной соли;2160
Плотность магнезия;1738
Плотность кальция;1550
Плотность золота;19300
Плотность алмаза;3500
Плотность мрамора;2700
Плотность гранита;2600
Плотность песка;1600
Плотность льда;920
Плотность обычного стекла;2500
Плотность стекла (пирекс);2230
Плотность мыла;900
Плотность воздуха;1.225
Плотность фосфора;1823
