Название константы;Значение
Значение pi;3.14159265358979323846264338327950288419716939937510582097494459
Значение tau(2pi);6.28318530717958647692528676655900576839433879875021164194988918
Сверхзолотое сечение;1.4655712318767682
Соединительная константа для гексагональной решетки;1.8477590650225735
Постоянная Кеплера–Бувкампа;0.1149420448532962
Постоянная Уоллиса;2.0945514815423265
Число Эйлера;2.718281828459045
Натуральный логарифм 2;0.6931471805599453
Постоянная лемнискаты;2.6220575542921196
Постоянная Эйлера;0.5772156649015329
Постоянная Эрдеша–Борвейна;1.6066951524152917
Постоянная Омега;0.5671432904097838
Константа Апери;1.2020569031595942
Предел Лапласа;0.6627434193491816
Константа Зельднера;1.451369234883381
Постоянная Гаусса;0.8346268416740732
Вторая постоянная Эрмита;1.1547005383792515
Постоянная Лиувилля;0.110001
Первая непрерывная дробь константа;0.697774657964008
Постоянная Рамануджана;2.6253741264076874e+17
Постоянная Глейшера–Кинкелина;1.2824271291006226
Константа Каталана;0.915965594177219
Число Дотти;0.7390851332151607
Постоянная Мейсселя–Мертенса;0.26149721284764277
Универсальная параболическая постоянная;2.295587149392638
Константа Каэна;0.643410546288338
Константа Гельфонда;23.14069263277927
Постоянная Гельфонда-Шнейдера;2.665144142690225
Вторая константа Фавара;1.2337005501361697
Золотой угол;2.3999632297286535
Константа Серпинского;2.5849817595792532
Постоянная Ландау–Рамануджана;0.7642236535892206
Первая постоянная Нильсена–Рамануджана;0.8224670334241132
Константа Гизекинга;1.0149416064096537
Постоянная Бернштейна;0.2801694990238691
Константа Трибоначчи;1.8392867552141612
Постоянная Бруна;1.902160583104
Константа простых чисел - близнецов;0.6601618158468696
Коэффициент пластичности;1.324717957244746
Z - балл для 97,5 процентиля;1.9599639845400543
Постоянная Пруэ-Туэ–Морзе;0.4124540336401076
Постоянная Голомба–Дикмана;0.6243299885435508
Константа, связанная с асимптотическим поведением констант Лебега;0.9894312738311469
Константа Феллера–Торнье;0.6613170494696223
Константа Шамперноуна;0.12345678910111213
Константа Салема;1.1762808182599176
Константа Хинчина;2.6854520010653062
Константа Леви (1);1.1865691104156255
Константа Леви (2);3.2758229187218113
Константа Коупленда–Эрдеша;0.23571113171923294
Константа Миллса;1.3063778838630806
Константа Гомперца;0.5963473623231941
Постоянная Ван дер Пау;4.532360141827194
Магический угол;0.9553166181245093
Постоянная Артина;0.37395581361920227
Постоянная Портера;1.4670780794339755
Постоянная Лох;0.9702701143920339
Постоянная тессеракта Девиччи;1.0074347568842794
Квадратная ледяная постоянная Либа;1.539600717839002
Постоянная Нивена;1.7052111401053678
Константа Стивенса;0.5759599688929454
Обычная последовательность сворачивания бумаги;0.8507361882018672
Обратная постоянная Фибоначчи;3.3598856662431777
Константа Фейгенбаума;4.66920160910299
Константы Чайтина;0.007874996997812385
Константа Роббинса;0.6617071822671763
Константа Вейерштрасса;0.47494937998792064
Постоянная Франсена–Робинсона;2.8077702420285195
Feigenbaum constant α;2.5029078750958926
Вторая константа Дюбуа-Реймона;0.19452804946532512
Постоянная Эрдеша–Тененбаума–Форда;0.0860713320559342
Константа Конвея;1.3035772690342964
Постоянная Хафнера–Сарнака-Маккерли;0.353236371854996
Константа Бэкхауса;1.4560749485826896
Константа Вишваната;1.1319882487943
Постоянная Коморника–Лорети;1.787231650182966
Константа Эмбре–Трефетена;0.70258
Постоянная Хита–Брауна-Мороза;0.001317641154853178
Константа MRB;0.18785964246206713
Простая константа;0.41468250985111166
Квадратичная рекуррентная константа Сомоса;1.6616879496335941
Постоянная Фояса;1.1874523511265012
Логарифмическая емкость единичного диска;0.5901702995080481
Константа Танигути;0.6782344919173919
Константа Базилио;1.504
Константа Дирихле;1.2824
Константа Тюринга;0.353236371854995
Константа Линделофа;0.5
Константа Сильвестра;2.337
Константа Лежандра;1.13198824
Константа Раппопорта;0.888899
Константа Тьюринга-Майнцела;0.574713
Константа Дюдика;0.876627
Константа Бауэра;1.543377
Константа Голомбо;0.62432998854355
Константа Плата;0.927054
Константа Непера;1.915319464183
Константа Капрекара;6174
Константа Пирса;1.291285997062663
Константа Ламберта;0.567143290409784
Константа Эйлера-Бруноуи;1.606695152415291
Константа Гомера;0.824
Константа Фейера;1.202056903159594
Постоянная Пи-два;1.5707963267948966
Постоянная Пи-три;1.0471975511965976
Постоянная Пи-четыре;0.7853981633974483
